productUid,title,collectionHandle,catalogUid,attributesJson
metallic_200x200-mm-8x8-inch_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x200-mm-8x8-inch""}"
metallic_200x200-mm-8x8-inch_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x200-mm-8x8-inch""}"
metallic_200x300-mm-8x12-inch_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x300-mm-8x12-inch""}"
metallic_200x300-mm-8x12-inch_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x300-mm-8x12-inch""}"
metallic_200x300-mm-8x12-inch_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x300-mm-8x12-inch""}"
metallic_200x300-mm-8x12-inch_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x300-mm-8x12-inch""}"
metallic_200x600-mm-8x24-inch_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x600-mm-8x24-inch""}"
metallic_200x600-mm-8x24-inch_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x600-mm-8x24-inch""}"
metallic_200x600-mm-8x24-inch_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x600-mm-8x24-inch""}"
metallic_200x600-mm-8x24-inch_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""200x600-mm-8x24-inch""}"
metallic_20x20-inch-500x500-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x20-inch-500x500-mm""}"
metallic_20x20-inch-500x500-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x20-inch-500x500-mm""}"
metallic_20x20-inch-500x500-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x20-inch-500x500-mm""}"
metallic_20x20-inch-500x500-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x20-inch-500x500-mm""}"
metallic_20x28-inch-500x700-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x28-inch-500x700-mm""}"
metallic_20x28-inch-500x700-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x28-inch-500x700-mm""}"
metallic_20x28-inch-500x700-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x28-inch-500x700-mm""}"
metallic_20x28-inch-500x700-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x28-inch-500x700-mm""}"
metallic_20x30-inch-500x750-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x30-inch-500x750-mm""}"
metallic_20x30-inch-500x750-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x30-inch-500x750-mm""}"
metallic_20x30-inch-500x750-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x30-inch-500x750-mm""}"
metallic_20x30-inch-500x750-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""20x30-inch-500x750-mm""}"
metallic_24x24-inch-600x600-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x24-inch-600x600-mm""}"
metallic_24x24-inch-600x600-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x24-inch-600x600-mm""}"
