productUid,title,collectionHandle,catalogUid,attributesJson
wood_20x28-inch-500x700-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x28-inch-500x700-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_20x30-inch-500x750-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x30-inch-500x750-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_20x30-inch-500x750-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x30-inch-500x750-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_20x30-inch-500x750-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x30-inch-500x750-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_20x30-inch-500x750-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""20x30-inch-500x750-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_24x24-inch-600x600-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x24-inch-600x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_24x24-inch-600x600-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x24-inch-600x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_24x24-inch-600x600-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x24-inch-600x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_24x24-inch-600x600-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x24-inch-600x600-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_24x32-inch-600x800-mm_lined-plywood_10-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x32-inch-600x800-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_24x32-inch-600x800-mm_lined-plywood_10-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x32-inch-600x800-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""10-mm""}"
wood_24x32-inch-600x800-mm_lined-plywood_20-mm_hor-grain_4-0_hor,Wood prints — hor,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x32-inch-600x800-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
wood_24x32-inch-600x800-mm_lined-plywood_20-mm_hor-grain_4-0_ver,Wood prints — ver,wood-prints,wood-prints,"{""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedWoodFormat"":""24x32-inch-600x800-mm"",""WoodGrainDirection"":""hor-grain"",""WoodMaterial"":""lined-plywood"",""WoodThickness"":""20-mm""}"
