productUid,title,collectionHandle,catalogUid,attributesJson
canvas_200x600-mm-8x24-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 200x600-mm-8x24-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x600-mm-8x24-inch""}"
canvas_200x600-mm-8x24-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 200x600-mm-8x24-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""200x600-mm-8x24-inch""}"
canvas_20x20-inch-500x500-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 20x20-inch-500x500-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x20-inch-500x500-mm""}"
canvas_20x20-inch-500x500-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 20x20-inch-500x500-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x20-inch-500x500-mm""}"
canvas_20x24-inch-500x600-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 20x24-inch-500x600-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x24-inch-500x600-mm""}"
canvas_20x24-inch-500x600-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 20x24-inch-500x600-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x24-inch-500x600-mm""}"
canvas_20x28-inch-500x700-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 20x28-inch-500x700-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x28-inch-500x700-mm""}"
canvas_20x28-inch-500x700-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 20x28-inch-500x700-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x28-inch-500x700-mm""}"
canvas_20x30-inch-500x750-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 20x30-inch-500x750-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x30-inch-500x750-mm""}"
canvas_20x30-inch-500x750-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 20x30-inch-500x750-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x30-inch-500x750-mm""}"
canvas_20x40-inch-500x1000-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 20x40-inch-500x1000-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x40-inch-500x1000-mm""}"
canvas_20x40-inch-500x1000-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 20x40-inch-500x1000-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""20x40-inch-500x1000-mm""}"
canvas_24x24-inch-600x600-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 24x24-inch-600x600-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x24-inch-600x600-mm""}"
canvas_24x24-inch-600x600-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 24x24-inch-600x600-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x24-inch-600x600-mm""}"
canvas_24x30-inch-600x750-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 24x30-inch-600x750-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x30-inch-600x750-mm""}"
canvas_24x30-inch-600x750-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 24x30-inch-600x750-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x30-inch-600x750-mm""}"
canvas_24x32-inch-600x800-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 24x32-inch-600x800-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x32-inch-600x800-mm""}"
canvas_24x32-inch-600x800-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 24x32-inch-600x800-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x32-inch-600x800-mm""}"
canvas_24x36-inch-600x900-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 24x36-inch-600x900-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x36-inch-600x900-mm""}"
canvas_24x36-inch-600x900-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 24x36-inch-600x900-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""24x36-inch-600x900-mm""}"
canvas_270x350-mm-11x14-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 270x350-mm-11x14-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""270x350-mm-11x14-inch""}"
canvas_270x350-mm-11x14-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 270x350-mm-11x14-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""270x350-mm-11x14-inch""}"
canvas_28x40-inch-700x1000-mm_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 28x40-inch-700x1000-mm — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""28x40-inch-700x1000-mm""}"
canvas_28x40-inch-700x1000-mm_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 28x40-inch-700x1000-mm — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""28x40-inch-700x1000-mm""}"
